DistanceFromTarget,ElevationDifference,GunTiltX,GunTiltY,XDifference,YDifference,Zdifference,HitOrMiss
23.64031,1.559522,63.63314,124.1342,-16.04755,1.559522,17.28896,0
21.6473,1.495068,72.95873,99.84465,-6.827097,1.495068,20.48807,0
40.56365,1.487455,74.40685,140.2041,-33.26773,1.487455,23.16152,0
52.61672,1.46673,79.27386,93.41935,-1.367694,1.46673,52.57849,0
20.7664,1.621773,56.91884,66.29751,11.54918,1.621773,17.18224,0
23.28885,1.448365,88.50512,157.7228,-21.89436,1.448365,7.804455,0
31.03629,1.462667,80.51116,114.763,-11.0462,1.462667,28.9671,0
57.87615,1.477229,76.58966,67.27832,24.98421,1.477229,52.18483,0
47.99014,1.466672,79.29054,33.61357,40.65174,1.466672,25.46249,0
25.62244,1.541525,65.88912,79.28091,5.68408,1.541525,24.93641,0
25.73211,1.586307,60.57306,30.27767,25.49673,1.586307,3.089027,0
18.0949,1.59759,59.36792,76.63407,8.571606,1.59759,15.85562,0
25.59406,1.484884,74.92654,24.56909,23.66065,1.484884,9.644928,0
33.55066,1.463681,80.1881,85.98309,6.65288,1.463681,32.85184,0
14.25663,1.615066,57.58148,53.87177,9.889256,1.615066,10.14129,0
20.48975,1.564658,63.02159,110.7145,-10.67995,1.564658,17.41609,0
3.103375,1.472335,102.2316,21.29702,2.007308,1.472335,1.853073,0
47.0415,1.464839,79.83134,157.6745,-44.14475,1.464839,16.18635,0
25.08238,1.541147,65.93861,79.75159,7.661047,1.541147,23.83398,0
21.00309,1.5783,61.45618,89.82529,0.009365436,1.5783,20.9437,0
46.82611,1.45988,81.46201,10.31158,46.58664,1.45988,4.498745,0
38.99831,1.501889,71.75568,44.89363,30.31128,1.501889,24.4916,0
27.82907,1.578228,61.46416,145.0379,-26.39483,1.578228,8.676361,0
24.23782,1.515859,69.50432,131.6308,-15.88213,1.515859,18.24642,0
61.11122,1.471905,77.8775,137.5364,-45.5971,1.471905,40.66102,0
40.30879,1.506026,71.06219,19.48234,40.17294,1.506026,2.943687,0
14.89824,1.448363,91.49059,148.5442,-12.96408,1.448363,7.196705,0
49.9913,1.46462,79.89786,31.13749,42.78353,1.46462,25.81772,0
20.60222,1.616935,57.39571,104.1661,-7.859533,1.616935,18.97537,0
14.23122,1.464584,79.90878,67.74384,5.932343,1.464584,12.85262,1
14.32911,1.714697,48.69582,98.66084,-4.559727,1.714697,13.47561,0
34.12602,1.452983,84.47369,62.78012,14.55971,1.452983,30.83,0
12.93374,1.732412,47.28107,63.26252,9.197818,1.732412,8.926395,0
39.55943,1.450828,85.83762,133.7296,-29.24363,1.450828,26.60176,0
27.99516,1.552106,64.54012,127.8912,-20.87348,1.552106,18.5908,0
59.70832,1.47156,77.96551,76.67344,15.21492,1.47156,57.71849,0
42.54252,1.464862,79.82426,126.4812,-25.82754,1.464862,33.77364,1
56.32404,1.478417,76.31864,107.1151,-19.0367,1.478417,52.98883,0
27.19572,1.500601,71.97688,76.01406,2.884468,1.500601,27.00065,0
16.65273,1.515248,69.59778,75.60611,4.909671,1.515248,15.84022,0
45.55996,1.479184,76.14642,48.19731,31.50749,1.479184,32.87553,1
23.50511,1.551214,64.65123,90.27765,0.2485652,1.551214,23.45255,0
15.5854,1.568015,62.62868,54.61853,9.199741,1.568015,12.48242,0
48.69944,1.464346,79.9818,169.1365,-48.54372,1.464346,3.605438,0
39.52016,1.495073,72.95776,93.11859,0.6826843,1.495073,39.48597,0
12.19106,1.622833,56.81516,114.2383,-7.805094,1.622833,9.223274,0
19.87807,1.499182,72.22373,150.7432,-18.05916,1.499182,8.170486,0
34.56756,1.489281,74.04788,17.38727,34.29528,1.489281,4.065941,0
55.56519,1.464595,79.90531,94.46031,-2.29972,1.464595,55.49826,0
51.12844,1.464824,79.83591,128.2244,-34.20725,1.464824,37.97151,0
31.84579,1.459703,81.52599,114.5321,-13.71883,1.459703,28.70222,1
14.85481,1.600263,59.08877,131.6635,-12.44642,1.600263,7.94928,0
37.25388,1.475751,76.93464,136.0152,-26.19293,1.475751,26.45002,0
37.74291,1.475684,76.95042,52.03346,24.4849,1.475684,28.68517,0
11.66102,1.466454,79.35358,161.0041,-10.94996,1.466454,3.73193,1
37.01784,1.466675,79.28968,164.2353,-36.05761,1.466675,8.247292,1
41.30884,1.455037,83.43162,7.367908,41.21733,1.455037,2.331329,0
33.20119,1.449507,86.96228,55.54403,20.05724,1.449507,26.41827,0
30.47859,1.493675,73.21458,26.20664,28.32662,1.493675,11.14972,0
27.89999,1.486694,74.55894,33.82181,23.59751,1.486694,14.8107,0
38.95489,1.500549,71.98598,49.5736,26.50362,1.500549,28.50947,0
14.58087,1.708154,49.22842,58.5901,10.56066,1.708154,9.907391,0
59.42325,1.470052,78.35842,74.21512,18.42212,1.470052,56.47643,0
38.93309,1.494359,73.08849,82.9091,0.796422,1.494359,38.89625,0
27.32389,1.468551,78.76299,131.8533,-19.67791,1.468551,18.90022,0
44.98083,1.461332,80.95441,28.39268,40.19473,1.461332,20.13761,0
32.18644,1.530166,67.42132,104.4037,-9.274352,1.530166,30.78331,0
39.46634,1.495428,72.89306,156.8778,-37.95998,1.495428,10.69558,0
37.52671,1.488639,74.17313,108.111,-14.82456,1.488639,34.44228,0
20.44303,1.448352,91.46882,166.3857,-19.76031,1.448352,5.034882,0
27.1832,1.505741,71.10924,144.3495,-23.78219,1.505741,13.07924,0
29.00702,1.495767,72.8316,73.37779,8.750964,1.495767,27.61504,0
53.94384,1.468871,78.67544,54.62031,31.82888,1.468871,43.52818,0
29.74801,1.466804,79.25276,22.12079,28.41191,1.466804,8.692268,0
17.94131,1.522488,68.51525,24.8747,17.29059,1.522488,4.539608,0
56.59019,1.471924,77.87271,110.8208,-21.50696,1.471924,52.32336,0
44.37291,1.471413,78.00344,136.2582,-31.86589,1.471413,30.84406,1
20.92275,1.635889,55.5612,43.84431,18.73155,1.635889,9.17683,0
16.4762,1.514853,69.6584,105.6388,-1.782627,1.514853,16.30928,0
9.302073,1.52971,67.48489,111.2175,-3.079369,1.52971,8.643265,0
19.84327,1.448442,91.64528,38.23877,16.13965,1.448442,11.45292,0
48.80725,1.484608,74.98342,164.585,-48.69501,1.484608,2.95623,0
39.32887,1.502117,71.71693,32.07442,35.44221,1.502117,16.98099,0
58.08195,1.471194,78.05984,62.94431,27.1643,1.471194,51.31715,0
35.02054,1.471694,77.93134,91.7951,2.095187,1.471694,34.92682,0
25.32493,1.454069,83.90032,40.47947,20.22936,1.454069,15.16611,0
17.04009,1.478508,76.29812,32.98608,14.91032,1.478508,8.115486,0
38.92782,1.479957,75.97486,137.0581,-29.77964,1.479957,25.02715,0
45.97089,1.469487,78.50928,160.229,-43.84141,1.469487,13.75114,1
23.28802,1.48651,74.5961,106.7601,-10.6734,1.48651,20.64463,0
